first_name,last_name,location,age,felon,sat,act,gpa
Ryan,Baker,MI,83,false,1274,32,0.9
Charles,Fields,CO,46,false,1726,26,0.6
Mary,Harrison,CO,63,true,2135,34,0.8
Rose,Parker,FL,47,true,1969,36,0.9
Timothy,Fowler,PA,87,true,2358,23,1.1
Irene,Wright,PA,63,false,1680,10,0.8
Alice,Kim,WV,21,false,1884,29,0.7
Ronald,Davis,VA,90,true,1654,34,0.8
Keith,Wood,CA,32,false,1701,21,0.7
Laura,Crawford,DC,40,false,1469,-1,0.8
Norma,Hudson,IN,40,true,2520,33,0.6
Jason,Harvey,TN,22,true,2041,9,0.9
Eugene,Ramirez,WI,51,false,1757,48,0.9
Janice,Wood,PA,64,false,1579,45,0.8
Gregory,Foster,MA,27,false,2488,34,0.8
Lisa,Stevens,NC,86,false,1969,12,0.8
Jean,Chavez,CA,68,false,2424,15,0.9
Eugene,Dean,NE,78,true,1766,41,0.7
Kevin,Allen,LA,32,false,2123,30,1.0
Virginia,Wallace,TX,18,true,2358,36,0.9
Kimberly,Burke,KS,73,false,1347,24,0.9
Jack,Watson,AZ,49,true,2776,33,0.7
Thomas,Oliver,CA,69,false,1595,4,0.8
Jacqueline,Kennedy,TX,83,false,1481,26,0.7
Annie,Gutierrez,TX,72,false,1846,43,0.8
Jose,Stevens,CA,38,false,1531,31,0.7
Christopher,Ross,CA,38,false,2080,20,0.8
Edward,Gonzales,NC,16,false,1988,23,0.9
Laura,Martinez,FL,87,false,1687,45,0.7
Kelly,West,TX,79,true,1395,13,0.8
Debra,Wright,VA,15,false,2321,25,0.9
Raymond,Edwards,NY,40,false,2336,27,0.7
Ryan,Hughes,AL,38,true,1889,37,0.8
Ashley,Parker,CA,29,true,1661,28,0.8
Anna,Clark,TX,82,true,1616,24,0.9
Marie,Clark,MD,57,true,1891,19,0.9
Shawn,Reed,IL,34,true,2339,38,1.0
Jacqueline,Henry,OH,26,false,1772,17,0.6
Mildred,Mills,NV,72,false,1283,29,1.0
Tina,Watkins,GA,26,true,2141,12,0.8
Virginia,Morris,DC,60,true,1860,47,0.8
Jeffrey,Reyes,WA,62,true,1733,30,0.7
Andrew,Reed,WA,68,true,2123,29,0.7
Christina,Parker,TX,25,false,1905,15,0.8
Timothy,Woods,KS,28,false,1791,22,0.8
Maria,Burns,FL,46,true,1769,22,0.8
Ruby,Hicks,TX,85,false,1996,25,0.9
Patricia,Payne,OR,64,false,1409,42,0.7
Christopher,Black,CA,62,false,2009,31,0.5
Julie,Peters,WI,26,true,1438,31,0.8
Gary,Chapman,CA,90,true,1594,23,0.9
Denise,Rose,MA,49,true,2169,3,0.8
Marie,Wagner,MN,35,true,1528,31,0.9
Kathryn,Carr,TX,61,true,2101,14,0.9
John,Murray,NY,85,false,1891,23,0.7
Marie,Kim,TX,46,true,1441,46,0.7
Virginia,Patterson,CA,68,false,1715,39,0.7
Justin,Reed,TX,40,false,1610,45,0.9
Frank,Stewart,VA,77,true,1764,22,0.8
Jose,Foster,NY,36,false,1802,27,0.8
William,Mitchell,MA,52,true,1917,30,0.8
John,Gibson,AZ,44,true,2157,26,0.8
John,Harvey,LA,35,false,2112,20,0.7
Arthur,Spencer,IL,80,false,2155,35,0.7
Marie,Gomez,WA,78,false,1740,35,0.7
Bruce,Torres,CA,31,false,1837,31,0.8
Robin,Lawson,AZ,82,false,1750,41,0.9
Elizabeth,Morgan,OH,29,false,2005,32,0.7
Heather,Wells,VA,68,true,1480,21,0.6
Lois,Clark,VA,28,false,2139,9,0.9
Donna,Reynolds,NY,79,false,2251,30,0.7
Jason,Woods,NJ,53,true,1464,26,0.8
Wayne,Wells,NC,39,true,2140,32,0.8
Lawrence,Morgan,KY,43,false,1569,36,0.8
Marie,Sanchez,TN,47,false,1990,36,0.9
Arthur,Meyer,MN,38,true,2493,38,0.8
Shawn,Bishop,VA,38,true,1937,19,0.8
Beverly,Johnson,VA,86,false,1647,37,0.8
Lori,Stevens,TX,53,false,1870,39,0.9
Kelly,Hunter,NM,48,false,1902,28,0.8
Henry,Cooper,MA,86,false,1353,19,0.8
Rose,Allen,NV,54,false,2054,41,0.9
Raymond,Young,GA,18,false,1982,26,0.9
George,Boyd,TX,77,true,2059,45,0.7
Rose,Mason,NV,36,false,2177,31,0.8
Dorothy,Garcia,OH,69,true,1907,14,0.7
Frances,Fisher,AL,76,true,1940,31,0.8
Nicole,Tucker,WA,31,false,2095,31,1.0
Paula,Davis,FL,43,false,1901,22,0.8
Russell,Andrews,MN,38,false,1834,31,0.7
Christine,Hill,SD,86,true,1895,22,0.8
Gloria,Richardson,WI,52,false,1970,14,0.7
Paula,Oliver,CO,69,false,2057,38,0.8
Cynthia,Ryan,CA,59,true,1560,23,0.8
Judy,Walker,FL,23,false,1541,46,0.7
Diane,Ramos,NY,28,false,1750,34,0.7
Kathy,Warren,NC,78,true,1934,25,1.0
Martin,Holmes,OK,54,true,1820,10,0.8
Lois,Williamson,IL,74,true,1767,29,0.7
Ronald,Owens,MN,24,true,2526,17,0.7
Teresa,Murphy,NE,41,false,1996,31,0.8
Michael,Simpson,MD,58,false,1350,24,0.8
William,Graham,NC,82,true,2159,38,1.0
Gary,Ross,CA,61,true,1763,36,0.7
Sharon,Kelly,CA,37,false,1947,12,0.7
Jason,Mcdonald,LA,19,false,2267,14,0.7
Rachel,Hughes,CA,71,false,1493,23,0.7
Eugene,Bailey,NY,73,false,1895,25,0.9
Wanda,Warren,CO,58,true,1901,16,0.7
Donald,Jackson,NV,38,false,1554,38,0.7
Jessica,Jacobs,LA,45,true,1546,17,0.9
Rose,Sims,VA,30,false,1770,30,0.9
Charles,Perkins,DC,60,false,1830,33,0.6
Patrick,Stone,DC,34,false,2291,44,0.8
Willie,Peterson,PA,20,false,1497,28,0.8
Antonio,Wells,GA,54,true,2356,24,0.8
Ann,Snyder,PA,78,true,1845,28,0.8
Jeffrey,Olson,LA,90,false,2447,18,0.7
Patrick,Marshall,SC,80,false,1508,35,0.7
Barbara,Hudson,TN,21,true,1975,38,0.7
Jerry,Hawkins,MN,28,true,2096,16,0.8
Joshua,Brooks,OH,26,true,2165,28,0.8
Joshua,Robertson,SC,75,true,1824,31,0.7
Bobby,Lawrence,PA,77,true,2162,48,0.8
Jimmy,Murray,NE,38,true,1747,32,0.7
Todd,Patterson,IA,90,true,1965,15,0.9
Billy,Stone,FL,43,false,1821,25,0.8
Edward,Williamson,DC,88,false,2022,34,0.7
Russell,Vasquez,FL,64,true,1675,15,0.9
Kelly,Robinson,UT,85,true,1487,35,0.7
Keith,Chapman,CA,58,false,1786,34,0.7
Wayne,Wood,TX,19,true,2066,11,0.8
Kathryn,West,IL,50,false,2056,42,0.8
Roy,Morrison,NJ,58,false,1907,19,1.0
Douglas,Allen,IL,20,false,2784,23,0.6
Gloria,Cooper,TN,45,false,2305,12,0.8
Donna,Carter,CA,46,false,2083,36,0.8
Steven,Hudson,FL,52,true,1867,33,0.7
Carol,Gonzalez,FL,63,true,2333,17,0.9
Dorothy,Grant,NV,75,false,1996,40,0.9
Thomas,Hughes,NY,27,false,2242,9,1.0
Janet,Freeman,NY,63,false,1844,39,0.7
John,Martinez,CT,85,true,1776,30,1.0
Russell,Perez,FL,43,false,2468,22,0.9
Martin,Parker,FL,75,false,1630,24,0.7
Jessica,Morris,FL,86,false,1764,38,0.8
Phyllis,Graham,DC,85,false,2187,34,0.7
Howard,Shaw,NY,73,true,1375,44,0.8
Jason,Garza,CA,39,true,1832,34,0.9
Cynthia,Adams,CO,48,false,1985,14,0.6
Dorothy,Ward,VA,46,false,1602,7,0.8
Joseph,Washington,NH,86,true,1694,32,0.9
Craig,Foster,IA,38,true,1919,30,0.9
Teresa,Ford,NY,84,true,1284,42,0.9
Harold,Foster,AK,61,true,2107,38,0.8
Gloria,Knight,TX,66,false,1602,21,1.0
Alice,Riley,OR,64,true,1786,36,0.9
Dennis,Riley,MN,48,false,2020,48,0.9
Laura,Henderson,CA,51,true,1811,25,0.5
Gary,Stone,NY,71,true,1794,17,0.9
Joe,Hunter,UT,37,true,1616,32,0.8
Michelle,Reid,IL,38,false,2449,27,0.6
Jonathan,Rice,FL,26,true,1979,22,0.8
Debra,Hall,CA,56,true,1668,29,0.8
Donald,Sullivan,DC,38,true,1997,40,0.7
Randy,Daniels,LA,83,true,2303,36,0.8
Donald,Hayes,FL,72,false,2218,25,0.8
Ronald,Day,VA,58,true,1863,22,0.9
Daniel,Crawford,OH,16,false,1942,11,0.7
Janice,Fox,ID,15,false,1733,44,0.7
Phillip,Williamson,OK,32,false,1239,29,0.7
Harry,Rodriguez,AR,81,true,2282,27,0.8
Eric,Jordan,OK,49,false,1648,32,0.9
Karen,Scott,NJ,83,false,1757,28,0.8
Russell,Lee,FL,68,true,2310,29,0.7
Lillian,Cruz,OR,82,false,2254,13,1.0
Philip,Day,TX,29,false,2044,23,0.9
Andrew,James,CA,65,false,1826,15,0.9
Gerald,Jackson,KY,76,false,2400,8,0.8
Richard,West,FL,61,true,2046,22,0.9
Judy,Cox,IA,42,false,1773,11,0.8
Phillip,Washington,PA,38,false,1796,39,0.9
Kathy,Morales,OH,86,true,1837,4,0.8
Andrea,Simpson,TX,17,true,2153,26,0.9
Robin,Long,LA,85,true,2198,36,0.8
Johnny,Shaw,IA,62,true,2955,43,0.8
Robert,Foster,TX,55,true,1853,19,0.7
Mark,Weaver,NY,90,true,1673,34,0.9
Lillian,Williamson,OH,71,false,1986,37,1.0
Tina,Henry,OK,43,false,2460,19,0.9
Patrick,Fernandez,CA,47,true,1871,22,0.7
George,Fernandez,MD,73,false,1984,60,0.9
Daniel,Hudson,MA,60,false,2007,33,0.8
Denise,Kim,NC,76,false,2139,37,0.8
Jason,Price,MN,70,true,1906,50,0.7
Stephanie,George,IN,15,false,2333,24,0.7
Andrew,Reed,MI,88,true,1896,27,1.0
Jacqueline,Ross,CT,86,true,1754,11,1.0
Philip,Collins,MS,39,false,1922,30,0.7
Ronald,Gilbert,CT,16,false,2521,19,0.9
Bruce,Dean,TX,88,false,1833,35,0.9
Ralph,Fuller,CO,20,true,1987,12,0.6
Patricia,Perry,TX,53,true,2120,36,0.9
Sharon,Coleman,NY,55,false,2199,29,0.7
Dorothy,Green,AK,66,true,2156,24,0.7
Andrea,Hamilton,NY,21,false,1749,18,0.8
Chris,Vasquez,NY,65,true,1985,28,0.9
Clarence,Ferguson,FL,60,false,1673,31,0.7
Martin,Kim,NV,84,false,2184,38,0.8
Judy,Coleman,ID,69,true,1668,7,0.8
Brian,Stevens,NC,33,true,1386,25,0.8
Laura,Perez,TX,72,true,1785,38,1.0
Tina,Owens,LA,54,true,2247,36,0.7
Fred,Rose,CA,77,false,1854,44,1.0
Angela,Hart,WA,31,true,1991,30,0.9
Steven,Cooper,FL,71,false,2135,24,0.8
Ernest,Mendoza,FL,63,true,2022,33,0.8
James,Hart,CA,85,false,2039,30,0.7
Sara,Jacobs,IL,70,true,1322,18,0.9
Phyllis,Sims,TX,25,true,2208,38,0.7
Rebecca,Taylor,NC,56,true,2055,24,0.7
Beverly,Sims,FL,33,false,2508,26,0.8
Barbara,Ramos,MA,68,false,1985,38,1.0
Marilyn,Hart,KY,34,true,2291,40,1.1
Julie,Webb,IA,32,true,2221,36,1.0
Rebecca,Palmer,IL,15,false,2017,23,0.8
Deborah,Greene,CO,80,false,1909,30,0.8
Janice,Cook,GA,64,false,1399,11,0.7
Cheryl,Tucker,CA,80,true,1248,11,0.7
Craig,King,PA,86,true,1805,25,0.9
Samuel,Snyder,CA,65,true,1722,27,0.7
David,Porter,MN,31,false,1452,48,0.7
Anthony,Lawson,TX,38,true,2507,18,0.9
Elizabeth,Diaz,NJ,58,true,1536,36,0.7
Scott,Lynch,LA,39,false,2146,20,0.8
Carlos,Mccoy,NY,42,false,1757,13,0.8
Lawrence,Elliott,NJ,71,true,1780,29,0.7
Todd,Romero,MO,18,true,2033,45,0.8
Eugene,Chapman,KY,61,false,1790,23,0.9
Eugene,Parker,IL,79,false,1841,32,1.0
Phyllis,Freeman,VA,17,true,1622,21,0.8
Todd,Ryan,MD,28,false,2175,28,0.7
Amy,Ross,TX,89,false,1846,27,1.0
Juan,Rice,TX,32,false,1790,28,0.7
Robin,Jenkins,NC,62,true,1944,26,0.8
Anne,Thomas,TX,56,true,1913,34,0.7
Ann,Morrison,IL,55,false,1643,29,0.8
Laura,Clark,TX,41,false,2112,28,0.8
Frank,Cunningham,MA,86,false,1956,15,0.8
Robin,Young,OH,80,false,2226,32,0.8
Sean,Carpenter,VA,80,true,1937,12,0.8
Ruth,Robertson,OH,26,false,2422,25,0.8
Terry,Diaz,IN,34,true,2269,22,0.8
Andrew,Richardson,FL,63,false,1823,31,0.8
Anthony,Gordon,SC,42,true,2086,22,0.9
Harold,Duncan,TX,28,true,2083,35,0.7
Lawrence,Hill,OR,67,false,1868,9,0.8
Samuel,Holmes,OR,44,true,2248,35,0.8
Kelly,Edwards,WI,65,false,2339,17,0.7
Antonio,Gray,IN,72,true,2370,21,0.7
Janice,Schmidt,MI,71,true,2021,-6,0.7
Kenneth,Alexander,TX,36,true,2316,12,0.8
Philip,Gomez,AL,66,false,1751,29,0.8
Carolyn,James,OK,39,true,1973,20,1.0
Joshua,Dixon,OH,82,true,1799,46,0.7
Ashley,Wilson,TX,59,true,1804,23,0.8
Shirley,Hill,CA,71,true,1681,25,0.7
Todd,Harris,DE,38,true,2401,30,1.0
Steve,Gray,PA,40,true,1906,34,1.0
Stephen,Armstrong,MN,60,false,1660,16,0.8
Jeremy,Black,CA,48,false,2142,25,0.9
Joshua,Richards,AZ,72,true,2214,21,0.8
Anthony,Taylor,TX,76,true,1791,25,0.8
George,Cruz,GA,21,false,2045,30,0.9
Steven,Perkins,FL,83,false,1836,38,0.9
Bonnie,Johnson,TX,44,false,1828,29,0.8
Edward,Nelson,OK,76,false,2261,28,0.8
Sean,Jackson,WA,28,true,1808,53,0.8
Craig,Berry,GA,51,true,1535,23,0.7
Nicholas,Olson,TX,71,true,1700,26,0.7
Carolyn,Roberts,LA,41,true,2228,48,0.8
Rachel,Richardson,TN,53,false,1786,24,1.0
Brian,Bennett,MS,59,false,1622,42,0.9
Cheryl,Fernandez,CA,37,true,1984,18,0.9
John,Peterson,AZ,51,false,2175,35,0.9
Tammy,Lopez,CA,87,true,1932,27,0.6
Jose,Carpenter,CA,40,false,2211,36,0.8
Julia,Lopez,NC,34,true,2161,23,0.8
Laura,Allen,CO,25,false,1671,2,0.8
Emily,Morrison,GA,86,true,2227,32,1.1
Nancy,Miller,WA,30,true,1757,23,0.8
Justin,Gray,FL,59,false,1706,22,0.8
Mildred,Burns,AL,77,true,2492,11,0.6
Joan,Webb,FL,40,true,1903,19,0.7
Anthony,Crawford,NH,46,true,2065,26,0.8
Kathy,Frazier,FL,51,false,1831,8,0.8
Marilyn,Snyder,AZ,85,false,1893,24,0.9
Keith,Henry,NE,71,false,1773,35,0.7
Evelyn,Myers,MO,52,false,2259,18,0.8
Randy,Cruz,PA,50,false,2117,22,0.7
Sandra,Matthews,FL,26,true,2036,9,0.7
Steve,Olson,MO,86,true,1815,27,0.9
Rebecca,Gonzalez,NC,43,true,1450,23,0.7
Brenda,Harper,CA,40,true,1913,44,0.8
Julia,Wright,NM,34,false,1206,40,0.8
Amy,Elliott,AL,52,false,1667,35,0.8
Tina,Armstrong,SC,17,true,2321,17,0.9
Norma,Snyder,KY,37,true,1768,20,0.8
Michael,Duncan,NM,82,true,1442,29,0.9
Bruce,Jacobs,VA,58,false,1928,20,0.6
Ann,Lee,MN,80,true,1459,13,0.8
Jerry,Hicks,IL,51,false,2251,28,0.7
Carl,Sullivan,CO,60,true,1326,35,0.8
Donald,Montgomery,CA,84,false,1920,37,0.7
Lawrence,Stewart,UT,80,false,1859,31,0.7
Roy,Fisher,WA,34,true,1830,22,0.8
Kevin,Clark,MI,63,true,1444,56,0.8
Julia,Sullivan,NY,27,true,1335,20,0.8
Anne,Fuller,CA,63,true,2389,18,0.8
Theresa,Castillo,NY,48,false,1444,24,0.8
Jane,Crawford,FL,81,true,2212,23,0.9
Denise,Day,LA,32,true,1764,43,0.8
Eugene,Wilson,TX,61,true,1741,31,0.8
Donald,Howell,PA,63,true,2159,41,0.7
Frances,Campbell,FL,24,false,1888,17,0.9
Randy,Montgomery,CO,52,true,1986,19,0.9
Chris,Hughes,OH,20,true,2093,13,0.8
Andrea,Garza,PA,63,false,1674,39,0.9
Brandon,Hayes,MI,60,false,2159,27,0.7
Kelly,Long,FL,90,false,1974,43,0.7
Emily,Vasquez,MO,27,true,2112,31,0.8
Tina,Taylor,FL,77,true,2074,34,0.7
Adam,Sims,NV,79,true,1667,23,0.9
Dorothy,Morrison,NY,36,false,2380,18,0.6
Robin,Rivera,CA,53,true,1783,31,0.6
Howard,Mills,FL,80,false,1293,30,0.9
Kimberly,Hanson,NE,61,true,1713,28,0.7
Victor,Snyder,FL,55,true,1724,35,0.9
Pamela,Knight,NY,47,true,1611,18,0.9
Walter,White,AL,36,false,2191,11,0.7
Walter,Robinson,FL,82,false,1638,29,0.8
Carlos,King,MO,32,true,2161,34,0.8
Jennifer,Ellis,CA,43,true,2096,25,0.8
Nicole,Bell,AZ,77,true,1581,56,0.8
Jeffrey,Wheeler,OH,68,true,1650,29,1.1
Steven,Gonzales,IL,43,false,1899,19,0.8
Carol,Richards,TX,33,true,1744,20,0.9
Steven,Coleman,WV,39,true,1564,26,0.8
Kathleen,Burton,NC,28,false,2363,29,0.8
Harry,Ray,MT,84,true,2337,19,0.7
Marilyn,Wood,KY,27,false,1716,39,0.7
John,Elliott,FL,34,true,1720,19,0.8
Shawn,Adams,TX,47,false,2102,23,0.6
Sarah,Owens,WA,43,true,2378,18,0.7
Sarah,Bishop,OH,45,false,1799,37,0.8
Timothy,Flores,WY,60,false,2010,40,0.9
Sarah,Gonzalez,OH,47,true,1859,31,0.9
Jennifer,Fisher,CO,68,true,1558,42,0.7
Kelly,Mccoy,FL,81,true,1986,30,0.7
Ernest,Moore,NV,15,false,2038,48,0.6
Mary,Anderson,PA,86,true,1884,25,0.9
Joyce,Miller,NY,60,false,1715,31,0.9
Harold,Miller,OH,43,true,2243,38,0.8
Jerry,Shaw,NM,52,false,1862,30,0.7
Andrew,Carr,MO,67,false,2053,31,0.6
Adam,Russell,DE,19,true,2208,19,0.9
Roger,Russell,CA,18,true,1546,34,0.8
Brenda,Carter,NY,39,true,2051,28,0.7
Judy,Frazier,FL,21,true,1592,20,0.9
Margaret,Moore,PA,80,true,1291,34,0.8
Anthony,Williamson,FL,70,true,1961,33,0.7
Nancy,White,AL,61,true,1636,20,0.9
Betty,Long,OH,64,true,1615,43,0.9
Dennis,Hughes,FL,74,true,2243,16,0.8
Shirley,King,SC,16,true,2187,25,0.7
Nicole,Carr,IA,86,true,1289,34,0.9
Adam,Hunt,VA,86,true,2064,24,0.7
Ruth,Gray,CA,69,false,1653,33,0.8
Marie,Baker,IL,70,false,1595,18,0.8
Patrick,Simpson,NY,28,false,2080,12,0.7
Phillip,George,AL,60,false,2298,27,0.8
Alan,Burton,GA,23,true,1832,5,0.9
Michelle,Perry,DE,80,false,1575,13,0.8
Fred,Thomas,LA,54,false,1708,23,1.0
Antonio,Garza,FL,59,false,1379,39,1.0
Heather,Alexander,TX,44,true,1370,22,0.8
Harry,Garcia,NY,62,true,1500,20,0.6
Tina,Bowman,FL,64,false,1262,17,0.8
Linda,Williamson,VA,82,true,2409,25,0.9
Richard,Chavez,TN,52,false,1337,29,0.9
